id,total distance,ratio minimum,ratio maximum,ratio average,ratio variance,truck usage
0,84.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
1,88.0,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
2,84.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
3,88.0,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
4,84.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
5,88.0,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
6,88.0,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
7,84.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
8,84.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
9,84.1,0.875,0.9375,0.91666667,0.00086806,{'medium truck': 3}
